"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 14:05:09 GMT 2023","Thu Feb 16 14:05:09 GMT 2023","1","","hw_9_Allure.LabelsTest","","hw_9_Allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Feb 16 14:05:04 GMT 2023","Thu Feb 16 14:05:07 GMT 2023","3758","","hw_9_Allure.AttachmentsTest","","hw_9_Allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Thu Feb 16 14:05:17 GMT 2023","Thu Feb 16 14:05:20 GMT 2023","3554","","hw_9_Allure.StepsTest","","hw_9_Allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Thu Feb 16 14:05:08 GMT 2023","Thu Feb 16 14:05:09 GMT 2023","1820","","hw_9_Allure.AttachmentsTest","","hw_9_Allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Thu Feb 16 14:05:09 GMT 2023","Thu Feb 16 14:05:09 GMT 2023","1","","hw_9_Allure.LabelsTest","","hw_9_Allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Feb 16 14:05:09 GMT 2023","Thu Feb 16 14:05:14 GMT 2023","4319","","hw_9_Allure.SelenideTest","","hw_9_Allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Thu Feb 16 14:05:14 GMT 2023","Thu Feb 16 14:05:17 GMT 2023","2752","","hw_9_Allure.StepsTest","","hw_9_Allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
