"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 14:19:37 GMT 2023","Thu Feb 16 14:19:41 GMT 2023","3781","","hw_9_Allure.SelenideTest","","hw_9_Allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Thu Feb 16 14:19:35 GMT 2023","Thu Feb 16 14:19:37 GMT 2023","1438","","hw_9_Allure.AttachmentsTest","","hw_9_Allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Thu Feb 16 14:19:41 GMT 2023","Thu Feb 16 14:19:43 GMT 2023","2515","","hw_9_Allure.StepsTest","","hw_9_Allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Thu Feb 16 14:19:37 GMT 2023","Thu Feb 16 14:19:37 GMT 2023","5","","hw_9_Allure.LabelsTest","","hw_9_Allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Feb 16 14:19:37 GMT 2023","Thu Feb 16 14:19:37 GMT 2023","3","","hw_9_Allure.LabelsTest","","hw_9_Allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Feb 16 14:19:32 GMT 2023","Thu Feb 16 14:19:35 GMT 2023","3665","","hw_9_Allure.AttachmentsTest","","hw_9_Allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Thu Feb 16 14:19:43 GMT 2023","Thu Feb 16 14:19:45 GMT 2023","2121","","hw_9_Allure.StepsTest","","hw_9_Allure.StepsTest","testLambdaStep","testLambdaStep()",""
